scenario,mode,metric,level,count,mean,median,standardDeviation,standardError,min,max,p75,p90,p95,ci95Low,ci95High,ci95HalfWidth
scenario1,baseline,inputToNextPaint,perRun,100,9.47,9.42,0.47,0.05,8.66,11.3,9.73,10.06,10.12,9.37,9.56,0.09
scenario1,baseline,unrelatedUpdateToNextPaint,perRun,100,7.42,7.3,1.95,0.19,2.92,12.02,8.58,9.83,10.8,7.04,7.8,0.38
scenario1,baseline,expensiveCallsDuringInput,perRun,100,5,5,0,0,5,5,5,5,5,5,5,0
scenario1,baseline,expensiveCallsDuringUnrelated,perRun,100,5,5,0,0,5,5,5,5,5,5,5,0
scenario1,baseline,finalExpensiveCallCount,perRun,100,11,11,0,0,11,11,11,11,11,11,11,0
scenario1,optimized,inputToNextPaint,perRun,100,9.3,9.22,0.47,0.05,8.64,10.88,9.55,9.96,10.13,9.21,9.39,0.09
scenario1,optimized,unrelatedUpdateToNextPaint,perRun,100,6.89,6.88,2.32,0.23,1.82,12.46,8.44,9.79,10.7,6.44,7.34,0.45
scenario1,optimized,expensiveCallsDuringInput,perRun,100,5,5,0,0,5,5,5,5,5,5,5,0
scenario1,optimized,expensiveCallsDuringUnrelated,perRun,100,0,0,0,0,0,0,0,0,0,0,0,0
scenario1,optimized,finalExpensiveCallCount,perRun,100,6,6,0,0,6,6,6,6,6,6,6,0
